City,State,ID,Lat,Lon,Elev,WMO
Lamar,CO,KLAA,38.07,-102.68,1129,99999
La Junta,CO,KLHX,38.05,-103.52,1292,99999
Limon,CO,KLIC,39.27,-103.67,1635,99999
Leadville,CO,KLXV,39.22,-106.32,3026,99999
Meeker,CO,KEEO,40.05,-107.89,1957,99999
Montrose,CO,KMTJ,38.50,-107.90,1755,99999
Pueblo,CO,KPUB,38.28,-104.52,1439,72464
Trinidad,CO,KTAD,37.27,-104.33,1756,99999
Telluride,CO,KTEX,37.95,-107.90,2767,99999
Springfield,CO,KSPD,37.28,-102.61,1335,99999
Meriden,CT,KMMK,41.51,-72.83,31,99999
Hartford,CT,KBDL,41.93,-72.68,55,72508
Bridgeport,CT,KBDR,41.17,-73.13,5,72504
Danbury,CT,KDXR,41.37,-73.48,139,99999
Groton,CT,KGON,41.33,-72.05,3,99999
Hartford Brainard,CT,KHFD,41.73,-72.65,6,99999
New Haven,CT,KHVN,41.27,-72.88,4,99999
Willimantic,CT,KIJD,41.75,-72.18,148,99999
Oxford,CT,KOXC,41.48,-73.13,222,99999
Dover AFB,DE,KDOV,39.13,-75.47,9,99999
Georgetown,DE,KGED,38.69,-75.36,15,99999
Wilmington,DE,KILG,39.68,-75.60,24,99999
Tampa Vandenberg,FL,KVDF,28.01,-82.35,7,99999
Kissimmee,FL,KISM,28.23,-81.44,25,99999
Stuart,FL,KSUA,27.18,-80.22,5,99999
Hollywood,FL,KHWO,26.00,-80.24,3,99999
Pompano Beach,FL,KPMP,26.25,-80.11,6,99999
Naples,FL,KAPF,26.15,-81.77,3,99999
Apalachicola,FL,KAAF,29.73,-85.03,6,72220
Brooksville,FL,KBKV,28.47,-82.45,20,99999
Bartow,FL,KBOW,27.95,-81.78,39,99999
Crestview,FL,KCEW,30.78,-86.52,65,99999
Cocoa,FL,KCOF,28.23,-80.60,3,74795
Jacksonville Craig,FL,KCRG,30.33,-81.52,12,99999
Cross City,FL,KCTY,29.62,-83.10,13,72212
Daytona Beach,FL,KDAB,29.18,-81.05,11,99999
Destin,FL,KDTS,30.40,-86.47,6,99999
Key West,FL,KEYW,24.55,-81.75,6,72201
Ft Lauderdale,FL,KFLL,26.07,-80.15,7,99999
Fort Myers,FL,KFMY,26.58,-81.87,5,99999
Ft Pierce,FL,KFPR,27.50,-80.37,7,99999
Fort Lauderdale,FL,KFXE,26.20,-80.17,4,99999
Winter Haven,FL,KGIF,28.05,-81.75,44,99999
Gainesville,FL,KGNV,29.68,-82.27,46,99999
Hurlburt Field,FL,KHRT,30.43,-86.68,12,74777
Homestead AFB,FL,KHST,25.48,-80.38,2,99999
Jacksonville,FL,KJAX,30.50,-81.70,9,72206
Lakeland Region,FL,KLAL,27.98,-82.02,43,99999
Leesburg,FL,KLEE,28.82,-81.81,30,99999
Tampa Macdill AFB,FL,KMCF,27.85,-82.52,4,74788
Orlando International,FL,KMCO,28.43,-81.32,32,72205
Miami,FL,KMIA,25.82,-80.28,4,72202
Melbourne,FL,KMLB,28.10,-80.65,11,72204
Marathon,FL,KMTH,24.73,-81.05,2,99999
Marianna,FL,KMAI,30.84,-85.18,34,99999
Jacksonville NAS,FL,KNIP,30.23,-81.68,7,99999
Pensacola NAS,FL,KNPA,30.35,-87.32,9,99999
Key West NAS,FL,KNQX,24.57,-81.68,2,99999
Mayport NS,FL,KNRB,30.40,-81.42,5,99999
Whiting Fld NAS,FL,KNSE,30.72,-87.02,61,99999
Cecil Field,FL,KVQQ,30.22,-81.88,25,99999
Ocala,FL,KOCF,29.17,-82.22,27,99999
Opa Locka,FL,KOPF,25.90,-80.28,3,99999
Orlando,FL,KORL,28.55,-81.33,34,99999
Panama City Tyndall AFB,FL,KPAM,30.07,-85.58,5,74775
West Palm Beach,FL,KPBI,26.68,-80.12,6,72203
Panama City,FL,KPFN,30.22,-85.68,6,99999
Perry,FL,K40J,30.07,-83.58,14,99999
Punta Gorda,FL,KPGD,26.92,-81.99,11,99999
St. Petersburg International,FL,KPIE,27.92,-82.68,3,99999
Pensacola,FL,KPNS,30.47,-87.18,37,99999
Fort Myers International,FL,KRSW,26.53,-81.75,9,99999
Sanford,FL,KSFB,28.78,-81.23,17,99999
St. Augustine,FL,KSGJ,29.97,-81.33,3,99999
St. Petersburg,FL,KSPG,27.77,-82.63,2,99999
Sarasota,FL,KSRQ,27.40,-82.55,9,99999
Titusville,FL,KTIX,28.52,-80.80,11,99999
Tallahassee,FL,KTLH,30.38,-84.37,21,72214
Kendall,FL,KTMB,25.65,-80.43,3,99999
Tampa,FL,KTPA,27.97,-82.53,3,72211
Nasa Shuttle,FL,KTTS,28.62,-80.72,3,99999
Valparaiso,FL,KVPS,30.48,-86.53,26,72221
Vero Beach,FL,KVRB,27.65,-80.42,8,99999
Winder,GA,KWDR,33.99,-83.67,287,99999
Lawrenceville,GA,KLZU,33.98,-83.97,323,99999
Marietta McCollum Field,GA,KRYY,34.01,-84.60,317,99999
Thomaston,GA,KOPN,32.95,-84.27,243,99999
La Grange,GA,KLGC,33.02,-85.07,211,99999
Cartersville,GA,KVPC,34.13,-84.85,229,99999
Vidalia,GA,KVDI,32.19,-82.37,84,99999
Albany,GA,KABY,31.53,-84.18,59,72216
Augusta Bush,GA,KAGS,33.37,-81.97,45,72218
Athens,GA,KAHN,33.95,-83.32,247,72311
Alma,GA,KAMG,31.53,-82.50,61,99999
Atlanta,GA,KATL,33.65,-84.42,315,72219
Waycross,GA,KAYS,31.25,-82.40,46,72213
Brunswick,GA,KBQK,31.25,-81.47,8,99999
Columbus,GA,KCSG,32.52,-84.93,121,99999
Augusta,GA,KDNL,33.40,-82.00,9999,99999
Peachtree City,GA,KFFC,33.34,-84.57,265,99999
Atlanta Fulton,GA,KFTY,33.78,-84.52,256,99999
Dalton,GA,KDNN,34.72,-84.87,216,99999
Gainesville,GA,KGVL,34.32,-83.83,38,99999
Ft. Stewart,GA,KLHW,31.88,-81.57,14,72209
Fort Benning,GA,KLSF,32.33,-84.83,71,72225
Macon,GA,KMCN,32.70,-83.65,110,72217
Marietta,GA,KMGE,33.92,-84.52,326,72227
Newnan,GA,KCCO,33.31,-84.77,296,99999
Atlanta Dekalb,GA,KPDK,33.88,-84.30,305,99999
Rome,GA,KRMG,34.35,-85.17,196,72320
Savannah,GA,KSAV,32.13,-81.20,15,72207
Saint Simons Island,GA,KSSI,31.15,-81.38,6,99999
Savannah Hunter,GA,KSVN,32.02,-81.15,13,99999
Valdosta,GA,KVAD,30.97,-83.20,71,74781
Valdosta Regional,GA,KVLD,30.78,-83.28,62,99999
Warner Robins,GA,KWRB,32.63,-83.60,90,99999
Hana,HI,PHHN,20.78,-156.02,24,91190
Wheeler AFB,HI,PHHI,21.47,-158.02,290,91170
Bradshaw AFB,HI,PHSF,19.78,-155.55,1887,99999
Honolulu,HI,PHNL,21.35,-157.93,5,91182
Hilo,HI,PHTO,19.72,-155.07,11,91285
Lahaina,HI,PHJH,21.02,-156.63,40,99999
Keahole Point,HI,PHKO,19.73,-156.05,13,99999
Lihue,HI,PHLI,21.98,-159.35,45,91165
Lanai City,HI,PHNY,20.78,-156.95,399,99999
Molokai,HI,PHMK,21.15,-157.10,137,91186
Kahului,HI,PHOG,20.90,-156.43,20,91190
Oahu Kalaeola,HI,PHJR,21.32,-158.07,15,91178
Kaneohe MCBH,HI,PHNG,21.45,-157.77,3,91176
Harlan,IA,KHNR,41.58,-95.34,375,99999
Audubon,IA,KADU,41.70,-94.92,392,99999
Atlantic,IA,KAIO,41.40,-95.05,347,99999
Waterloo,IA,KALO,42.55,-92.40,268,72548
Washington,IA,KAWG,41.28,-91.67,226,99999
Algona,IA,KAXA,43.08,-94.27,364,99999
Ames,IA,KAMW,41.99,-93.62,376,99999
Ankeny,IA,KIKV,41.68,-93.57,277,99999
Boone,IA,KBNW,42.06,-93.86,345,99999
Burlington,IA,KBRL,40.78,-91.13,213,99999
Clarion,IA,KCAV,42.75,-93.77,345,99999
Council Bluffs,IA,KCBF,41.27,-95.77,373,99999
Charles City,IA,KCCY,43.08,-92.62,342,99999
Cedar Rapids,IA,KCID,41.88,-91.70,265,72545
Carroll,IA,KCIN,42.05,-94.78,360,99999
Chariton,IA,KCNC,41.02,-93.37,315,99999
Creston,IA,KCSQ,41.02,-94.36,395,99999
Clinton,IA,KCWI,41.83,-90.33,216,99999
Dubuque,IA,KDBQ,42.40,-90.70,329,72547
Decorah,IA,KDEH,43.28,-91.73,353,99999
Denison,IA,KDNS,41.98,-95.38,381,99999
Des Moines,IA,KDSM,41.53,-93.65,294,72546
Davenport,IA,KDVN,41.62,-90.58,228,99999
Webster City,IA,KEBS,42.44,-93.87,339,99999
Keokuk,IA,KEOK,40.47,-91.43,202,99999
Estherville,IA,KEST,43.40,-94.75,401,99999
Fairfield,IA,KFFL,41.05,-91.98,240,99999
Fort Dodge,IA,KFOD,42.55,-94.18,355,72549
Fort Madison,IA,KFSW,40.67,-91.33,221,99999
Clarinda,IA,KICL,40.71,-95.03,294,99999
